date_time,Dry Bulb Temperature [°C],Relative Humidity [%],Wind Speed [m/s],Wind Direction [Deg],Global Horizontal Radiation [W/m2],Direct Normal Radiation [W/m2],Diffuse Horizontal Radiation [W/m2]
1999-01-01 01:00:00,0.3,85,3.2,30,0,0,0
1999-01-01 02:00:00,0.4,85,3.5,280,0,0,0
1999-01-01 03:00:00,1.5,79,1.4,130,0,0,0
1999-01-01 04:00:00,0.5,85,1.1,120,0,0,0
1999-01-01 05:00:00,0.6,85,5.0,260,0,0,0
1999-01-01 06:00:00,2.6,74,0.7,100,0,0,0
1999-01-01 07:00:00,1.7,79,2.4,260,0,0,0
1999-01-01 08:00:00,0.7,85,3.2,210,0,0,0
1999-01-01 09:00:00,2.0,80,1.5,80,44,208,23
1999-01-01 10:00:00,1.9,80,0.1,60,187,499,65
1999-01-01 11:00:00,2.8,83,0.2,50,367,605,151
1999-01-01 12:00:00,3.7,78,0.2,50,102,0,102
1999-01-01 13:00:00,3.6,79,0.3,50,140,0,140
1999-01-01 14:00:00,4.5,75,0.4,50,409,627,141
1999-01-01 15:00:00,4.5,75,2.0,90,335,772,58
1999-01-01 16:00:00,4.3,71,0.6,40,216,647,57
1999-01-01 17:00:00,3.3,71,0.7,40,62,0,62
1999-01-01 18:00:00,0.1,89,3.2,110,0,0,0
1999-01-01 19:00:00,-1.0,91,6.4,340,0,0,0
1999-01-01 20:00:00,-2.0,91,2.9,80,0,0,0
1999-01-01 21:00:00,-2.1,85,2.5,180,0,0,0
1999-01-01 22:00:00,-1.6,85,1.1,20,0,0,0
1999-01-01 23:00:00,-0.7,84,1.1,20,0,0,0
1999-01-02 00:00:00,0.2,83,2.7,350,0,0,0
1999-01-02 01:00:00,-1.0,82,4.9,350,0,0,0
1999-01-02 02:00:00,-1.2,88,4.4,340,0,0,0
1999-01-02 03:00:00,-1.3,80,5.1,290,0,0,0
1999-01-02 04:00:00,-1.6,87,4.5,310,0,0,0
1999-01-02 05:00:00,-2.7,85,1.6,360,0,0,0
1999-01-02 06:00:00,-4.0,93,1.7,360,0,0,0
1999-01-02 07:00:00,-4.1,84,1.8,360,0,0,0
1999-01-02 08:00:00,-4.3,84,1.9,360,0,0,0
1999-01-02 09:00:00,-2.5,76,2.0,350,34,80,26
1999-01-02 10:00:00,-0.6,69,2.0,350,187,494,66
1999-01-02 11:00:00,0.1,70,3.6,240,284,490,109
1999-01-02 12:00:00,2.0,64,2.2,340,465,793,126
1999-01-02 13:00:00,1.8,63,2.3,340,427,621,146
