trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
1788020,101,22,"DUNN ST. - CANADIAN DRIVE HUB",,0,99991202,shp-101-53,0,0
2130020,101,22,"DUNN ST. - CANADIAN DRIVE HUB",,0,99994202,shp-101-53,0,0
2634170,101,20,"DUNN ST. - CANADIAN DRIVE HUB",,0,100237217,shp-101-53,0,0
1673200,101,24,"DUNN ST. - CANADIAN DRIVE HUB",,0,100387220,shp-101-53,0,0
1788070,101,15,"DUNN ST. - CANADIAN DRIVE HUB",,0,99943207,shp-101-53,0,0
2130070,101,15,"DUNN ST. - CANADIAN DRIVE HUB",,0,99946207,shp-101-53,0,0
2595020,101,22,"DUNN ST. - CANADIAN DRIVE HUB",,0,99990202,shp-101-53,0,0
1673190,101,2,"DUNN ST. - CANADIAN DRIVE HUB",,0,100338219,shp-101-53,0,0
1815020,101,22,"DUNN ST. - CANADIAN DRIVE HUB",,0,99992202,shp-101-53,0,0
3583020,101,22,"DUNN ST. - CANADIAN DRIVE HUB",,0,99990202,shp-101-53,0,0
2595070,101,15,"DUNN ST. - CANADIAN DRIVE HUB",,0,99942207,shp-101-53,0,0
1815070,101,15,"DUNN ST. - CANADIAN DRIVE HUB",,0,99944207,shp-101-53,0,0
1673170,101,20,"DUNN ST. - CANADIAN DRIVE HUB",,0,100236217,shp-101-53,0,0
4498170,101,20,"DUNN ST. - CANADIAN DRIVE HUB",,0,100237217,shp-101-53,0,0
2635070,101,15,"DUNN ST. - CANADIAN DRIVE HUB",,0,99942207,shp-101-53,0,0
2634190,101,2,"DUNN ST. - CANADIAN DRIVE HUB",,0,100339219,shp-101-53,0,0
1673180,101,4,"DUNN ST. - CANADIAN DRIVE HUB",,0,100287218,shp-101-53,0,0
4498190,101,2,"DUNN ST. - CANADIAN DRIVE HUB",,0,100339219,shp-101-53,0,0
4195070,101,15,"DUNN ST. - CANADIAN DRIVE HUB",,0,99945207,shp-101-53,0,0
2635020,101,22,"DUNN ST. - CANADIAN DRIVE HUB",,0,99990202,shp-101-53,0,0
2634180,101,4,"DUNN ST. - CANADIAN DRIVE HUB",,0,100288218,shp-101-53,0,0
4903170,101,20,"DUNN ST. - CANADIAN DRIVE HUB",,0,100236217,shp-101-53,0,0
5652180,101,4,"DUNN ST. - CANADIAN DRIVE HUB",,0,100289218,shp-101-53,0,0
3583070,101,15,"DUNN ST. - CANADIAN DRIVE HUB",,0,99942207,shp-101-53,0,0
4307170,101,20,"DUNN ST. - CANADIAN DRIVE HUB",,0,100240217,shp-101-53,0,0
4903200,101,24,"DUNN ST. - CANADIAN DRIVE HUB",,0,100387220,shp-101-53,0,0
5652190,101,2,"DUNN ST. - CANADIAN DRIVE HUB",,0,100340219,shp-101-53,0,0
4277070,101,15,"DUNN ST. - CANADIAN DRIVE HUB",,0,99947207,shp-101-53,0,0
4307180,101,4,"DUNN ST. - CANADIAN DRIVE HUB",,0,100291218,shp-101-53,0,0
5072190,101,2,"DUNN ST. - CANADIAN DRIVE HUB",,0,100339219,shp-101-53,0,0
5652200,101,24,"DUNN ST. - CANADIAN DRIVE HUB",,0,100389220,shp-101-53,0,0
4903190,101,2,"DUNN ST. - CANADIAN DRIVE HUB",,0,100338219,shp-101-53,0,0
4307190,101,2,"DUNN ST. - CANADIAN DRIVE HUB",,0,100342219,shp-101-53,0,0
4991020,101,22,"DUNN ST. - CANADIAN DRIVE HUB",,0,99991202,shp-101-53,0,0
594070,101,15,"DUNN ST. - CANADIAN DRIVE HUB",,0,99943207,shp-101-53,0,0
5072170,101,20,"DUNN ST. - CANADIAN DRIVE HUB",,0,100237217,shp-101-53,0,0
4277020,101,22,"DUNN ST. - CANADIAN DRIVE HUB",,0,99995202,shp-101-53,0,0
4991070,101,15,"DUNN ST. - CANADIAN DRIVE HUB",,0,99943207,shp-101-53,0,0
8294190,101,2,"DUNN ST. - CANADIAN DRIVE HUB",,0,100338219,shp-101-53,0,0
5072200,101,24,"DUNN ST. - CANADIAN DRIVE HUB",,0,100388220,shp-101-53,0,0
4307200,101,24,"DUNN ST. - CANADIAN DRIVE HUB",,0,100391220,shp-101-53,0,0
5592180,101,4,"DUNN ST. - CANADIAN DRIVE HUB",,0,100287218,shp-101-53,0,0
8475180,101,4,"DUNN ST. - CANADIAN DRIVE HUB",,0,100288218,shp-101-53,0,0
5375020,101,22,"DUNN ST. - CANADIAN DRIVE HUB",,0,99994202,shp-101-53,0,0
4498200,101,24,"DUNN ST. - CANADIAN DRIVE HUB",,0,100388220,shp-101-53,0,0
5592200,101,24,"DUNN ST. - CANADIAN DRIVE HUB",,0,100387220,shp-101-53,0,0
8159020,101,22,"DUNN ST. - CANADIAN DRIVE HUB",,0,99992202,shp-101-53,0,0
5375070,101,15,"DUNN ST. - CANADIAN DRIVE HUB",,0,99946207,shp-101-53,0,0
778170,101,20,"DUNN ST. - CANADIAN DRIVE HUB",,0,100237217,shp-101-53,0,0
5652170,101,20,"DUNN ST. - CANADIAN DRIVE HUB",,0,100238217,shp-101-53,0,0
8475200,101,24,"DUNN ST. - CANADIAN DRIVE HUB",,0,100388220,shp-101-53,0,0
5583020,101,22,"DUNN ST. - CANADIAN DRIVE HUB",,0,99990202,shp-101-53,0,0
778180,101,4,"DUNN ST. - CANADIAN DRIVE HUB",,0,100288218,shp-101-53,0,0
5682020,101,22,"DUNN ST. - CANADIAN DRIVE HUB",,0,99991202,shp-101-53,0,0
8294200,101,24,"DUNN ST. - CANADIAN DRIVE HUB",,0,100387220,shp-101-53,0,0
5583070,101,15,"DUNN ST. - CANADIAN DRIVE HUB",,0,99942207,shp-101-53,0,0
8159070,101,15,"DUNN ST. - CANADIAN DRIVE HUB",,0,99944207,shp-101-53,0,0
662170,101,20,"DUNN ST. - CANADIAN DRIVE HUB",,0,100240217,shp-101-53,0,0
8804180,101,4,"DUNN ST. - CANADIAN DRIVE HUB",,0,100292218,shp-101-53,0,0
5592190,101,2,"DUNN ST. - CANADIAN DRIVE HUB",,0,100338219,shp-101-53,0,0
8475170,101,20,"DUNN ST. - CANADIAN DRIVE HUB",,0,100237217,shp-101-53,0,0
6479170,101,20,"DUNN ST. - CANADIAN DRIVE HUB",,0,100238217,shp-101-53,0,0
8804190,101,2,"DUNN ST. - CANADIAN DRIVE HUB",,0,100343219,shp-101-53,0,0
6572070,101,15,"DUNN ST. - CANADIAN DRIVE HUB",,0,99942207,shp-101-53,0,0
8804170,101,20,"DUNN ST. - CANADIAN DRIVE HUB",,0,100241217,shp-101-53,0,0
6479200,101,24,"DUNN ST. - CANADIAN DRIVE HUB",,0,100389220,shp-101-53,0,0
948190,101,2,"DUNN ST. - CANADIAN DRIVE HUB",,0,100341219,shp-101-53,0,0
7359020,101,22,"DUNN ST. - CANADIAN DRIVE HUB",,0,99990202,shp-101-53,0,0
5072180,101,4,"DUNN ST. - CANADIAN DRIVE HUB",,0,100288218,shp-101-53,0,0
6572020,101,22,"DUNN ST. - CANADIAN DRIVE HUB",,0,99990202,shp-101-53,0,0
