service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,0,0,0,0,0,20240428,20240601
2,0,0,0,0,1,0,0,20240428,20240601
3,1,1,1,1,1,0,0,20240428,20240601
4,0,0,0,1,0,0,0,20240428,20240601
5,1,1,1,0,0,0,0,20240428,20240601
6,0,0,0,0,0,1,0,20240428,20240601
7,0,0,0,0,0,1,0,20240428,20240601
8,0,0,0,0,0,0,1,20240428,20240601
9,0,0,0,0,0,0,1,20240428,20240601
10,1,1,1,1,1,0,0,20240428,20240601
11,0,0,0,1,0,0,0,20240428,20240601
12,0,0,0,0,0,0,1,20240428,20240601
13,1,0,0,0,0,0,0,20240428,20240601
14,0,0,0,0,0,0,1,20240428,20240601
15,0,0,0,0,0,1,0,20240428,20240601
16,0,0,0,0,1,0,0,20240428,20240601
17,0,0,0,1,0,0,0,20240428,20240601
18,0,0,1,0,0,0,0,20240428,20240601
19,0,0,0,0,1,0,0,20240428,20240601
20,1,1,1,0,0,0,0,20240428,20240601
21,0,0,0,0,0,0,1,20240428,20240601
22,1,1,1,1,1,0,0,20240428,20240601
23,0,0,0,0,0,1,0,20240428,20240601
24,0,0,0,0,0,1,0,20240428,20240601
