stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
4002,4221,"Ross St & Bruce St",,42.999277,-79.238751,,,,,,0
4003,4222,"River Rd & 426 River Rd",,43.004069,-79.238170,,,,,,0
4004,4223,"River Rd & 570 River Rd",,43.008992,-79.235028,,,,,,0
4006,4225,"Rona",,43.014848,-79.229868,,,,,,0
4008,4227,"River Rd & Woodlawn Rd",,43.011358,-79.234205,,,,,,0
4009,4228,"River Rd & 570 River Rd (W)",,43.009406,-79.234977,,,,,,0
4010,4229,"River Rd & Almond St",,43.002438,-79.239149,,,,,,0
4011,4230,"River Rd & Bruce St",,42.999981,-79.240938,,,,,,0
4012,4231,"River Rd & McMaster Av",,42.997430,-79.243046,,,,,,0
4013,4232,"Niagara St & Mill St",,42.992597,-79.252598,,,,,,0
4014,4233,"Niagara St & Elgin St",,42.995935,-79.252678,,,,,,0
4015,4241,"Niagara St & Roger Dr",,43.006750,-79.251970,,,,,,0
4016,4242,"Niagara St & Aqueduct St",,43.008277,-79.250540,,,,,,0
4017,4243,"Niagara St + Zehrs",,43.017432,-79.251168,,,,,,0
4018,4244,"Niagara St & Abbey Rd",,43.010295,-79.250023,,,,,,0
4019,4245,"Niagara St & Aqueduct St (W)",,43.008483,-79.250658,,,,,,0
4020,4246,"Niagara St & Roger Dr",,43.006503,-79.252312,,,,,,0
4021,4247,"Thorold Rd W & Douglas Av",,43.003730,-79.251993,,,,,,0
4022,4248,"Aqueduct St & Notre Dame",,43.001330,-79.249817,,,,,,0
4023,4249,"Aqueduct St & 128 Aqueduct St",,42.999090,-79.249825,,,,,,0
4024,4250,"Aqueduct St & 56 Aqueduct St",,42.997302,-79.249784,,,,,,0
4025,4251,"Church St & Niagara St",,42.996960,-79.252527,,,,,,0
4026,4252,"East Main St & 284 East Main St",,42.993249,-79.241750,,,,,,0
4027,4253,"Plymouth Rd & 35 Plymouth Rd",,42.982917,-79.246550,,,,,,0
4028,4254,"Downs Dr & Cooper Rd",,43.003049,-79.237541,,,,,,0
4029,4255,"River Rd & Jean Vanier",,43.011320,-79.234082,,,,,,0
4030,4256,"Riverside Dr & 281 Riverside Dr",,42.979612,-79.271855,,,,,,0
4032,3000,"Canal Bank Dr & Ontario Rd",,42.974459,-79.255096,,,,,,0
4033,2515,"Flag Stop - Killally St W & Stee",,42.891649,-79.260317,,,,,,0
4034,3080,"Flag Stop - Canal Bank St & Town",,42.962531,-79.252045,,,,,,0
4049,4159,"Southworth St & 115 Southworth S",,42.979087,-79.235948,,,,,,0
4058,6617,"Drummond & Valley Way NW",,43.098309,-79.098148,,,,,,0
4061,4078,"Willson Rd & Westwood Cr",,42.997492,-79.270090,,,,,,0
4062,4257,"East Main St + City Hall",,42.992063,-79.248921,,,,,,0
4063,4258,"Niagara St + Elizabeth St",,42.997837,-79.252725,,,,,,0
4064,4259,"Niagara St + Birch St",,43.002304,-79.252824,,,,,,0
4069,6001,"Park St & Ontario St",,43.107680,-79.065340,,,,,,0
4070,6002,"Park St & St Clair Av",,43.107666,-79.067014,,,,,,0
4071,6003,"Park St & St Lawrence Av",,43.107613,-79.070069,,,,,,0
4072,6004,"Park St & Buckley Av",,43.107670,-79.071883,,,,,,0
4074,4260,"WRIGHT ST + SAUER AV",,42.971051,-79.239098,,,,,,0
4075,9016,"NIAGARA ST + QUAKER ROAD",,43.022723,-79.249915,,,,,,0
4082,6836,"Dorchester Rd & Mcleod Rd SE",,43.069988,-79.109781,,,,,,0
4083,1404,"MERRITT ST + BALL AV E",,43.135924,-79.202547,,,,,,0
4086,66861,"McLeod Rd & Dorchester Rd",,43.070472,-79.110103,,,,,,0
4087,6748,"BROWN @ BUTTERNUT",,43.058933,-79.138008,,,,,,0
4088,6749,"BROWN @ OPPOSITE BUTTERNUT",,43.058888,-79.138427,,,,,,0
4089,6751,"GARNER SE @ MCLEOD",,43.069436,-79.148224,,,,,,0
4090,6752,"GARNER SW @ MCLEOD",,43.067057,-79.148278,,,,,,0
4091,6753,"GARNER @ SOURGUM",,43.064160,-79.148186,,,,,,0
4092,6754,"GARNER @ OPPOSITE SOURGUM",,43.064245,-79.148278,,,,,,0
4093,6755,"HEARTLAND FOREST",,43.055610,-79.131962,,,,,,0
4094,6756,"OPPOSITE HEARTLAND FOREST",,43.055580,-79.131879,,,,,,0
4095,6757,"BLACKBURN N @ HEARTLAND FOREST",,43.054864,-79.130970,,,,,,0
4096,6758,"BLACKBURN S @ HEARTLAND FOREST",,43.054608,-79.130624,,,,,,0
4097,6759,"BLACKBURN S @ MONTROSE",,43.053848,-79.125504,,,,,,0
4098,6760,"BLACKBURN N @ MONTROSE",,43.053887,-79.125326,,,,,,0
4099,6761,"DRUMMOND @ SAM IORFIDA",,43.066645,-79.096960,,,,,,0
4100,6762,"DRUMMOND @ LIONSHEAD",,43.066773,-79.096826,,,,,,0
4101,6763,"DRUMMOND SW @ OLDFIELD",,43.063746,-79.097038,,,,,,0
4102,6764,"DRUMMOND SE @ OLDFIELD",,43.063764,-79.096906,,,,,,0
4103,6765,"OLDFIELD @ PENDER",,43.063380,-79.100699,,,,,,0
4104,6766,"OLDFIELD @ OPPOSITE PENDER",,43.063302,-79.101055,,,,,,0
4105,6767,"DORCHESTER NE @ JUBILEE",,43.064568,-79.109620,,,,,,0
4106,6768,"DORCHESTER NW @ JUBILEE",,43.064502,-79.109697,,,,,,0
4107,6769,"BROWN @ HEARTLAND FOREST",,43.059038,-79.131890,,,,,,0
4108,6770,"STANLEY SW @ SALIT STEEL",,43.064018,-79.083771,,,,,,0
4109,6772,"STANLEY SW @ RAMSEY",,43.060069,-79.083817,,,,,,0
4110,6773,"8345 STANLEY AVENUE",,43.055913,-79.083597,,,,,,0
4111,6774,"PROGRESS @ EARL THOMAS",,43.054498,-79.088336,,,,,,0
4112,6776,"EARL THOMAS @ DON MURIE",,43.051584,-79.088333,,,,,,0
4113,6778,"DON MURIE @ STANLEY",,43.051570,-79.084223,,,,,,0
4114,6779,"OLDFIELD @ COLE",,43.063310,-79.105720,,,,,,0
4115,6780,"OLDFIELD @ OPPOSITE COLE",,43.063218,-79.105988,,,,,,0
4116,6781,"MONTROSE @ REGIONAL BUILDING",,43.072783,-79.125631,,,,,,0
4125,3635,"M/D Platform Upper",,43.104125,-79.114575,,,,,,0
4129,1405,"Kottmeier Rd & Vaughn Dr",,43.036609,-79.228933,,,,,,0
4130,1406,"Kottmeier Rd & Vaughn Dr",,43.036463,-79.228844,,,,,,0
4131,3085,"Flag Stop - Killaly St W & Elm S",,42.891682,-79.255173,,,,,,0
4132,3086,"Flag Stop - Killaly St W & King",,42.891666,-79.251955,,,,,,0
4140,2210,"Allanburg Rd & Hodgkins Av",,43.091532,-79.199407,,,,,,0
4156,6534,"Drummond Rd & Balmoral Av",,43.099725,-79.098285,,,,,,0
4157,6547,"Drummond Rd & Stevens St",,43.099638,-79.098213,,,,,,0
4163,1410,"Lakeport Rd & Lakehurst Drive",,43.191461,-79.255123,,,,,,0
2,1,"CHURCH ST + LYMAN ST",,43.160578,-79.246503,,,,,,0
3,2,"JAMES ST + DUKE ST",,43.160578,-79.247957,,,,,,0
4,3,"JAMES ST + LAKE ST",,43.161683,-79.250078,,,,,,0
5,4,"WELLAND AVE + YORK ST",,43.161393,-79.252899,,,,,,0
7,6,"FOURTH AVE + RIDLEY PLAZA",,43.155833,-79.263065,,,,,,0
8,1239,"FOURTH AVE + SMART CTR",,43.155627,-79.268342,,,,,,0
9,1240,"FOURTH AVE + VANSICKLE RD",,43.155547,-79.270408,,,,,,0
11,1242,"NIAGARA HEALTH SYSTEM - ST. CATHARINES SITE",,43.152973,-79.276837,,,,,,0
12,1243,"FIRST ST LOUTH + FOURTH AVE",,43.155007,-79.276153,,,,,,0
