service_id,date,exception_type
156204,20230705,1
150804,20230705,1
71704,20230705,1
102804,20230705,1
156204,20230706,1
150804,20230706,1
71704,20230706,1
102804,20230706,1
276904,20230707,1
371804,20230707,1
156204,20230707,1
71304,20230707,1
150804,20230707,1
71704,20230707,1
102804,20230707,1
12702,20230708,1
71702,20230708,1
102802,20230708,1
71703,20230709,1
102803,20230709,1
156204,20230710,1
150804,20230710,1
71704,20230710,1
102804,20230710,1
156204,20230711,1
150804,20230711,1
71704,20230711,1
102804,20230711,1
156204,20230712,1
150804,20230712,1
71704,20230712,1
156204,20230713,1
150804,20230713,1
71704,20230713,1
276904,20230714,1
371804,20230714,1
156204,20230714,1
71304,20230714,1
150804,20230714,1
71704,20230714,1
12702,20230715,1
71702,20230715,1
71703,20230716,1
156204,20230717,1
150804,20230717,1
71704,20230717,1
156204,20230718,1
150804,20230718,1
71704,20230718,1
156204,20230719,1
150804,20230719,1
71704,20230719,1
156204,20230720,1
150804,20230720,1
71704,20230720,1
276904,20230721,1
371804,20230721,1
156204,20230721,1
71304,20230721,1
150804,20230721,1
71704,20230721,1
12702,20230722,1
71702,20230722,1
71703,20230723,1
15,20230724,1
4,20230724,2
156204,20230725,1
150804,20230725,1
71704,20230725,1
156204,20230726,1
150804,20230726,1
71704,20230726,1
156204,20230727,1
150804,20230727,1
71704,20230727,1
276904,20230728,1
371804,20230728,1
156204,20230728,1
71304,20230728,1
150804,20230728,1
71704,20230728,1
12702,20230729,1
71702,20230729,1
71703,20230730,1
156204,20230731,1
150804,20230731,1
71704,20230731,1
156204,20230801,1
150804,20230801,1
71704,20230801,1
156204,20230802,1
150804,20230802,1
71704,20230802,1
156204,20230803,1
150804,20230803,1
71704,20230803,1
276904,20230804,1
371804,20230804,1
156204,20230804,1
71304,20230804,1
150804,20230804,1
71704,20230804,1
12702,20230805,1
71702,20230805,1
71703,20230806,1
156204,20230807,1
150804,20230807,1
71704,20230807,1
156204,20230808,1
150804,20230808,1
71704,20230808,1
156204,20230809,1
150804,20230809,1
71704,20230809,1
156204,20230810,1
150804,20230810,1
71704,20230810,1
156204,20230811,1
71304,20230811,1
150804,20230811,1
71704,20230811,1
12702,20230812,1
71702,20230812,1
71703,20230813,1
156204,20230814,1
150804,20230814,1
71704,20230814,1
156204,20230815,1
150804,20230815,1
71704,20230815,1
156204,20230816,1
150804,20230816,1
71704,20230816,1
71704,20230817,1
71704,20230818,1
12702,20230819,1
71702,20230819,1
