service_id,date,exception_type
71703,20230416,1
13304,20230417,1
71704,20230417,1
13304,20230418,1
71704,20230418,1
13304,20230419,1
71704,20230419,1
13304,20230420,1
71704,20230420,1
276904,20230421,1
371804,20230421,1
13304,20230421,1
71704,20230421,1
71702,20230422,1
53103,20230423,1
2303,20230423,1
13304,20230424,1
53104,20230424,1
2304,20230424,1
13304,20230425,1
53104,20230425,1
2304,20230425,1
13304,20230426,1
53104,20230426,1
2304,20230426,1
13304,20230427,1
53104,20230427,1
2304,20230427,1
276904,20230428,1
371804,20230428,1
13304,20230428,1
53104,20230428,1
2304,20230428,1
53102,20230429,1
2302,20230429,1
53103,20230430,1
2303,20230430,1
13304,20230501,1
53104,20230501,1
2304,20230501,1
13304,20230502,1
53104,20230502,1
2304,20230502,1
13304,20230503,1
53104,20230503,1
2304,20230503,1
13304,20230504,1
53104,20230504,1
2304,20230504,1
276904,20230505,1
371804,20230505,1
13304,20230505,1
53104,20230505,1
2304,20230505,1
12702,20230506,1
53102,20230506,1
2302,20230506,1
53103,20230507,1
2303,20230507,1
150804,20230508,1
53104,20230508,1
2304,20230508,1
150804,20230509,1
53104,20230509,1
2304,20230509,1
150804,20230510,1
53104,20230510,1
2304,20230510,1
150804,20230511,1
53104,20230511,1
2304,20230511,1
276904,20230512,1
371804,20230512,1
150804,20230512,1
53104,20230512,1
2304,20230512,1
12702,20230513,1
53102,20230513,1
2302,20230513,1
53103,20230514,1
2303,20230514,1
150804,20230515,1
53104,20230515,1
2304,20230515,1
150804,20230516,1
53104,20230516,1
2304,20230516,1
150804,20230517,1
53104,20230517,1
2304,20230517,1
150804,20230518,1
53104,20230518,1
2304,20230518,1
276904,20230519,1
371804,20230519,1
150804,20230519,1
71704,20230519,1
12702,20230520,1
71702,20230520,1
71703,20230521,1
150804,20230522,1
71704,20230522,1
150804,20230523,1
71704,20230523,1
102804,20230523,1
150804,20230524,1
71704,20230524,1
102804,20230524,1
150804,20230525,1
71704,20230525,1
102804,20230525,1
276904,20230526,1
371804,20230526,1
71704,20230526,1
102804,20230526,1
12702,20230527,1
71702,20230527,1
102802,20230527,1
71703,20230528,1
102803,20230528,1
22,20230529,1
4,20230529,2
150804,20230530,1
71704,20230530,1
102804,20230530,1
150804,20230531,1
71704,20230531,1
102804,20230531,1
156204,20230601,1
150804,20230601,1
71704,20230601,1
102804,20230601,1
276904,20230602,1
371804,20230602,1
156204,20230602,1
71304,20230602,1
150804,20230602,1
71704,20230602,1
102804,20230602,1
12702,20230603,1
71702,20230603,1
102802,20230603,1
71703,20230604,1
102803,20230604,1
156204,20230605,1
150804,20230605,1
71704,20230605,1
102804,20230605,1
156204,20230606,1
150804,20230606,1
71704,20230606,1
102804,20230606,1
156204,20230607,1
150804,20230607,1
71704,20230607,1
102804,20230607,1
156204,20230608,1
150804,20230608,1
71704,20230608,1
102804,20230608,1
276904,20230609,1
371804,20230609,1
156204,20230609,1
71304,20230609,1
150804,20230609,1
71704,20230609,1
102804,20230609,1
12702,20230610,1
71702,20230610,1
102802,20230610,1
71703,20230611,1
102803,20230611,1
156204,20230612,1
150804,20230612,1
71704,20230612,1
102804,20230612,1
156204,20230613,1
150804,20230613,1
71704,20230613,1
102804,20230613,1
156204,20230614,1
150804,20230614,1
71704,20230614,1
102804,20230614,1
156204,20230615,1
150804,20230615,1
71704,20230615,1
102804,20230615,1
276904,20230616,1
371804,20230616,1
156204,20230616,1
71304,20230616,1
150804,20230616,1
71704,20230616,1
102804,20230616,1
12702,20230617,1
71702,20230617,1
102802,20230617,1
71703,20230618,1
102803,20230618,1
156204,20230619,1
150804,20230619,1
71704,20230619,1
102804,20230619,1
156204,20230620,1
150804,20230620,1
71704,20230620,1
102804,20230620,1
156204,20230621,1
150804,20230621,1
71704,20230621,1
102804,20230621,1
156204,20230622,1
150804,20230622,1
71704,20230622,1
102804,20230622,1
276904,20230623,1
371804,20230623,1
156204,20230623,1
71304,20230623,1
150804,20230623,1
71704,20230623,1
102804,20230623,1
12702,20230624,1
71702,20230624,1
102802,20230624,1
71703,20230625,1
102803,20230625,1
156204,20230626,1
150804,20230626,1
71704,20230626,1
102804,20230626,1
156204,20230627,1
150804,20230627,1
71704,20230627,1
102804,20230627,1
156204,20230628,1
150804,20230628,1
71704,20230628,1
102804,20230628,1
156204,20230629,1
150804,20230629,1
71704,20230629,1
102804,20230629,1
276904,20230630,1
371804,20230630,1
156204,20230630,1
71304,20230630,1
150804,20230630,1
71704,20230630,1
102804,20230630,1
12702,20230701,1
71702,20230701,1
102802,20230701,1
71703,20230702,1
102803,20230702,1
276904,20230703,1
371804,20230703,1
156204,20230703,1
150804,20230703,1
71704,20230703,1
102804,20230703,1
23,20230704,1
4,20230704,2
