service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2,0,0,0,0,0,1,0,20230416,20230819
3,0,0,0,0,0,0,1,20230416,20230819
4,1,1,1,1,1,0,0,20230416,20230819
22,0,0,0,0,0,0,0,20230416,20230819
12702,0,0,0,0,0,0,0,20230416,20230819
71702,0,0,0,0,0,0,0,20230416,20230819
53102,0,0,0,0,0,0,0,20230416,20230819
2302,0,0,0,0,0,0,0,20230416,20230819
102802,0,0,0,0,0,0,0,20230416,20230819
419403,0,0,0,0,0,0,0,20230416,20230819
71703,0,0,0,0,0,0,0,20230416,20230819
53103,0,0,0,0,0,0,0,20230416,20230819
2303,0,0,0,0,0,0,0,20230416,20230819
102803,0,0,0,0,0,0,0,20230416,20230819
286304,0,0,0,0,0,0,0,20230416,20230819
276904,0,0,0,0,0,0,0,20230416,20230819
371804,0,0,0,0,0,0,0,20230416,20230819
156204,0,0,0,0,0,0,0,20230416,20230819
71304,0,0,0,0,0,0,0,20230416,20230819
46304,0,0,0,0,0,0,0,20230416,20230819
13304,0,0,0,0,0,0,0,20230416,20230819
150804,0,0,0,0,0,0,0,20230416,20230819
71704,0,0,0,0,0,0,0,20230416,20230819
53104,0,0,0,0,0,0,0,20230416,20230819
2304,0,0,0,0,0,0,0,20230416,20230819
102804,0,0,0,0,0,0,0,20230416,20230819
286322,0,0,0,0,0,0,0,20230416,20230819
